sample_num,left_count,right_count
Logging stopped. Total samples: 3000, Time: 30000 ms
1254,18800,27915
1255,18756,27955
1256,18711,27995
1257,18666,28035
1258,18622,28075
1259,18577,28115
1260,18532,28155
1261,18487,28195
1262,18442,28235
1263,18398,28275
1264,18353,28315
1265,18308,28355
1266,18264,28395
1267,18219,28435
1268,18174,28475
1269,18129,28515
1270,18084,28555
1271,18040,28595
1272,17995,28635
1273,17950,28675
1274,17906,28715
1275,17861,28755
1276,17816,28794
1277,17772,28834
1278,17727,28874
1279,17682,28914
1280,17637,28954
1281,17593,28994
1282,17548,29034
1283,17503,29074
1284,17458,29114
1285,17414,29154
1286,17369,29194
1287,17324,29234
1288,17280,29274
1289,17235,29314
1290,17190,29354
1291,17145,29394
1292,17100,29434
1293,17056,29474
1294,17011,29514
1295,16966,29554
1296,16922,29594
1297,16877,29634
1298,16832,29674
1299,16788,29714
1300,16743,29754
1301,16698,29794
1302,16653,29834
1303,16609,29874
1304,16564,29914
1305,16519,29954
1306,16474,29994
1307,16430,30034
1308,16385,30074
1309,16340,30114
1310,16296,30154
1311,16251,30194
1312,16206,30233
1313,16162,30273
1314,16117,30313
1315,16072,30353
1316,16028,30393
1317,15983,30433
1318,15938,30473
1319,15893,30513
1320,15848,30553
1321,15804,30593
1322,15759,30633
1323,15714,30673
1324,15670,30713
1325,15625,30753
1326,15580,30793
1327,15536,30833
1328,15491,30873
1329,15446,30913
1330,15401,30953
1331,15356,30993
1332,15312,31033
1333,15267,31073
1334,15222,31113
1335,15178,31153
1336,15133,31193
1337,15088,31233
1338,15044,31273
1339,14999,31313
1340,14954,31353
1341,14909,31393
1342,14864,31433
1343,14820,31473
1344,14775,31513
1345,14730,31553
1346,14686,31593
1347,14641,31633
1348,14596,31673
1349,14552,31713
1350,14507,31753
1351,14462,31793
1352,14418,31833
1353,14373,31873
1354,14328,31913
1355,14283,31953
1356,14238,31993
1357,14194,32033
1358,14149,32073
1359,14104,32113
1360,14060,32153
1361,14015,32193
1362,13970,32233
1363,13925,32273
1364,13881,32313
1365,13836,32353
1366,13791,32393
1367,13746,32433
1368,13702,32473
1369,13657,32513
1370,13612,32553
1371,13568,32593
1372,13523,32633
1373,13478,32673
1374,13434,32713
1375,13389,32753
1376,13344,32793
1377,13300,32833
1378,13255,32873
1379,13210,32913
1380,13165,32953
1381,13120,32993
1382,13076,33033
1383,13031,33073
1384,12986,33113
1385,12942,33153
1386,12897,33193
1387,12852,33233
1388,12808,33273
1389,12763,33313
1390,12718,33353
1391,12673,33393
1392,12628,33433
1393,12584,33473
1394,12539,33513
1395,12494,33553
1396,12450,33593
1397,12405,33633
1398,12360,33673
1399,12316,33713
1400,12271,33753
1401,12226,33793
1402,12181,33833
1403,12136,33873
1404,12092,33913
1405,12047,33953
1406,12002,33993
1407,11958,34033
1408,11913,34073
1409,11868,34113
1410,11823,34153
1411,11778,34193
1412,11734,34233
1413,11689,34273
1414,11644,34313
1415,11600,34353
1416,11555,34393
1417,11510,34433
1418,11466,34473
1419,11421,34513
1420,11376,34553
1421,11331,34593
1422,11287,34633
1423,11242,34673
1424,11197,34713
1425,11152,34753
1426,11108,34793
1427,11063,34833
1428,11018,34873
1429,10974,34913
1430,10929,34953
1431,10884,34993
1432,10839,35033
1433,10794,35073
1434,10750,35113
1435,10705,35153
1436,10660,35193
1437,10616,35233
1438,10571,35273
1439,10526,35313
1440,10481,35353
1441,10436,35393
1442,10392,35433
1443,10347,35473
1444,10302,35513
1445,10258,35553
1446,10213,35593
1447,10168,35633
1448,10123,35673
1449,10079,35713
1450,10034,35753
1451,9989,35793
1452,9944,35833
1453,9900,35873
1454,9855,35913
1455,9810,35953
1456,9766,35993
1457,9721,36033
1458,9676,36073
1459,9631,36113
1460,9586,36153
1461,9542,36193
1462,9497,36233
1463,9452,36273
1464,9408,36313
1465,9363,36353
1466,9318,36393
1467,9273,36433
1468,9228,36473
1469,9184,36513
1470,9139,36553
1471,9094,36593
1472,9049,36633
1473,9004,36673
1474,8960,36713
1475,8915,36753
1476,8870,36793
1477,8826,36833
1478,8781,36873
1479,8736,36913
1480,8691,36953
1481,8646,36993
1482,8602,37033
1483,8557,37073
1484,8512,37113
1485,8467,37153
1486,8422,37193
1487,8378,37233
1488,8333,37273
1489,8288,37313
1490,8243,37353
1491,8198,37393
1492,8154,37433
1493,8109,37473
1494,8064,37513
1495,8020,37553
1496,7975,37593
1497,7930,37633
1498,7885,37673
1499,7841,37713
1500,7796,37753
1501,7751,37793
1502,7706,37833
1503,7662,37872
1504,7617,37912
1505,7572,37952
1506,7528,37992
1507,7483,38032
1508,7438,38072
1509,7394,38112
1510,7349,38152
1511,7304,38192
1512,7259,38232
1513,7214,38272
1514,7170,38312
1515,7125,38352
1516,7080,38392
1517,7036,38432
1518,6991,38472
1519,6946,38512
1520,6901,38552
1521,6857,38592
1522,6812,38631
1523,6767,38672
1524,6722,38711
1525,6678,38751
1526,6633,38791
1527,6588,38831
1528,6544,38871
1529,6499,38911
1530,6454,38951
1531,6410,38991
1532,6365,39031
1533,6320,39071
1534,6275,39111
1535,6230,39151
1536,6186,39191
1537,6141,39231
1538,6096,39271
1539,6052,39311
1540,6007,39351
1541,5962,39391
1542,5918,39431
1543,5873,39471
1544,5828,39511
1545,5783,39550
1546,5739,39590
1547,5694,39630
1548,5649,39670
1549,5604,39710
1550,5560,39750
1551,5515,39790
1552,5470,39830
1553,5426,39870
1554,5381,39910
1555,5336,39950
1556,5291,39990
1557,5246,40030
1558,5202,40071
1559,5157,40110
1560,5112,40151
1561,5068,40190
1562,5022,40230
1563,4978,40270
1564,4933,40310
1565,4888,40350
1566,4844,40390
1567,4798,40430
1568,4754,40470
1569,4709,40510
1570,4664,40550
1571,4619,40590
1572,4574,40631
1573,4530,40670
1574,4485,40711
1575,4440,40750
1576,4395,40790
1577,4350,40830
1578,4306,40870
1579,4261,40910
1580,4216,40950
1581,4171,40990
1582,4126,41030
1583,4082,41070
1584,4037,41110
1585,3992,41150
1586,3947,41190
1587,3902,41230
1588,3857,41271
1589,3812,41310
1590,3768,41350
1591,3723,41390
1592,3678,41430
1593,3633,41470
1594,3588,41510
1595,3543,41550
1596,3498,41590
1597,3454,41630
1598,3409,41671
1599,3364,41710
1600,3319,41751
1601,3274,41790
1602,3229,41830
1603,3184,41870
1604,3140,41910
1605,3095,41950
1606,3050,41990
1607,3005,42030
1608,2960,42070
1609,2915,42110
1610,2870,42150
1611,2826,42190
1612,2781,42231
1613,2736,42271
1614,2691,42311
1615,2646,42351
1616,2601,42390
1617,2556,42430
1618,2512,42470
1619,2466,42510
1620,2422,42550
1621,2377,42590
1622,2332,42630
1623,2287,42670
1624,2242,42710
1625,2197,42750
1626,2152,42790
1627,2108,42830
1628,2063,42870
1629,2018,42910
1630,1973,42950
1631,1928,42990
1632,1883,43030
1633,1838,43070
1634,1794,43110
1635,1749,43150
1636,1704,43190
1637,1659,43230
1638,1614,43270
1639,1569,43310
1640,1524,43350
1641,1480,43390
1642,1435,43430
1643,1390,43470
1644,1345,43510
1645,1300,43550
1646,1255,43590
1647,1210,43630
1648,1165,43670
1649,1120,43710
